trial,runtime_sec,sse,cluster_counts,iterations,version
0,0.01828419999947073,529089293256.3279,"{0: 603, 1: 785, 2: 852}",10,lab04
1,0.016140800002176547,498874263905.97705,"{0: 1158, 1: 8, 2: 1074}",9,lab04
2,0.029272199997649295,529089293256.3279,"{0: 603, 1: 785, 2: 852}",15,lab04
3,0.04325609999796143,529091272586.9788,"{0: 604, 1: 782, 2: 854}",25,lab04
4,0.04774589999942691,529089293256.3279,"{0: 603, 1: 852, 2: 785}",27,lab04
5,0.022144200000184355,326981903004.4257,"{0: 1127, 1: 1112, 2: 1}",7,lab04
6,0.039312900000368245,529091272586.9788,"{0: 782, 1: 604, 2: 854}",22,lab04
7,0.020375600000988925,326981903004.4257,"{0: 1127, 1: 1, 2: 1112}",10,lab04
8,0.015904500000033295,498874263905.97705,"{0: 1074, 1: 1158, 2: 8}",8,lab04
9,0.06793399999878602,529089293256.3279,"{0: 785, 1: 852, 2: 603}",39,lab04
10,0.05035950000092271,529091272586.9788,"{0: 604, 1: 782, 2: 854}",28,lab04
11,0.016230499997618608,326981903004.4257,"{0: 1112, 1: 1, 2: 1127}",9,lab04
12,0.01871010000104434,498397089952.2356,"{0: 1113, 1: 8, 2: 1119}",10,lab04
13,0.018137999999453314,326981903004.4257,"{0: 1112, 1: 1127, 2: 1}",10,lab04
14,0.021074599997518817,326673084408.15564,"{0: 1167, 1: 1072, 2: 1}",11,lab04
15,0.01889369999844348,326981903004.4257,"{0: 1112, 1: 1127, 2: 1}",10,lab04
16,0.050943199999892386,529089293256.3279,"{0: 852, 1: 603, 2: 785}",28,lab04
17,0.04115539999838802,529091272586.9788,"{0: 604, 1: 854, 2: 782}",23,lab04
18,0.03907260000050883,529091272586.9788,"{0: 854, 1: 782, 2: 604}",20,lab04
19,0.018231699999887496,326981903004.4257,"{0: 1127, 1: 1, 2: 1112}",9,lab04
20,0.0125255000020843,498397089952.2356,"{0: 1119, 1: 8, 2: 1113}",6,lab04
21,0.05841850000069826,529089293256.3279,"{0: 785, 1: 603, 2: 852}",32,lab04
22,0.006443800000852207,326673084408.15564,"{0: 1167, 1: 1072, 2: 1}",3,lab04
23,0.019954600000346545,326673084408.15564,"{0: 1167, 1: 1, 2: 1072}",11,lab04
24,0.018300399999134243,326981903004.4257,"{0: 1112, 1: 1, 2: 1127}",10,lab04
25,0.019979100001364714,326673084408.15564,"{0: 1167, 1: 1, 2: 1072}",11,lab04
26,0.023425800001859898,529091272586.9788,"{0: 854, 1: 782, 2: 604}",13,lab04
27,0.014943700000003446,326981903004.4257,"{0: 1112, 1: 1127, 2: 1}",8,lab04
28,0.016436800000519725,326673084408.15564,"{0: 1167, 1: 1, 2: 1072}",9,lab04
29,0.018848799998522736,326981903004.4257,"{0: 1127, 1: 1112, 2: 1}",10,lab04
