n_rows,version,runtime_sec
200,lab03,0.017817500000091968
200,lab04,0.004122900001675589
500,lab03,0.09534550000171294
500,lab04,0.01092169999901671
1000,lab03,0.14137389999814332
1000,lab04,0.008761400000366848
1500,lab03,0.5795682999996643
1500,lab04,0.01957369999945513
2240,lab03,0.9457324000031804
2240,lab04,0.01593209999919054
